"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Fluctuate","/ˈflʌktʃuˌeɪt/","v.","fluctuate, fluctuates, fluctuated, fluctuated, fluctuating","fluctuation (n.)","波動；起伏","The prices of essential commodities tend to fluctuate significantly based on global market demand and supply.","fluctuate wildly; tend to fluctuate; fluctuate significantly","C1"
"Integrate","/ˈɪntəˌɡreɪt/","v.","integrate, integrates, integrated, integrated, integrating","integration (n.), integral (adj.)","整合；融入","The goal of the project is to integrate new technology into the existing manufacturing process effectively.","integrate into; fully integrate; successfully integrate","C1"
"Reconcile","/ˈrɛkənˌsaɪl/","v.","reconcile, reconciles, reconciled, reconciled, reconciling","reconciliation (n.)","使和解；調和","It is often difficult to reconcile the needs of the individual with the requirements of the entire group.","reconcile differences; difficult to reconcile; completely reconcile","C1"
"Underscore","/ˌʌndərˈskɔr/","v.","underscore, underscores, underscored, underscored, underscoring","None","強調；在...下面劃線","The recent report underscores the urgent need for more investment in public healthcare infrastructure.","underscore the importance; heavily underscore; underscore the need","C1"
"Predominantly","/prɪˈdɑmənəntli/","adv.","predominantly, more predominantly, most predominantly","predominant (adj.), predominate (v.)","主要地；佔主導地位地","The local population is predominantly composed of young families who have recently moved to the area.","predominantly female; predominantly white; predominantly based on","C1"
"Subsequently","/ˈsʌbsəkwəntli/","adv.","subsequently, more subsequently, most subsequently","subsequent (adj.)","隨後；接著","The initial report was subsequently proved to be inaccurate after a more thorough investigation was conducted.","subsequently revealed; subsequently abandoned; subsequently confirmed","C1"
"Inadvertently","/ˌɪnədˈvɜrtəntli/","adv.","inadvertently, more inadvertently, most inadvertently","inadvertent (adj.)","不經意地；非故意地","She inadvertently deleted the important file while she was trying to organize her computer desktop.","inadvertently cause; inadvertently reveal; inadvertently deleted","C1"
"Paradoxically","/ˌpærəˈdɑksɪkəli/","adv.","paradoxically, more paradoxically, most paradoxically","paradoxical (adj.), paradox (n.)","自相矛盾地","Paradoxically, some people find that they are more productive when they have less time to complete a task.","paradoxically enough; seem paradoxically; somewhat paradoxically","C1"
"Consequently","/ˈkɑnsəˌkwɛntli/","adv.","consequently, more consequently, most consequently","consequent (adj.), consequence (n.)","因此；結果","The company faced significant financial losses, and consequently, several departments had to be closed down.","consequently led to; and consequently; suffered consequently","C1"
"Sporadically","/spəˈrædɪkəli/","adv.","sporadically, more sporadically, most sporadically","sporadic (adj.)","偶爾地；零星地","The virus continues to appear sporadically in different parts of the country despite the vaccination efforts.","occur sporadically; work sporadically; sporadically throughout","C1"
"Inevitably","/ɪnˈɛvətəbli/","adv.","inevitably, more inevitably, most inevitably","inevitable (n.)","不可避免地；必然地","The rapid expansion of the city will inevitably lead to an increase in demand for more housing and services.","inevitably lead to; perhaps inevitably; almost inevitably","C1"
"Periodically","/ˌpɪriˈɑdɪkəli/","adv.","periodically, more periodically, most periodically","periodic (adj.), period (n.)","定期地；週期性地","The system software needs to be updated periodically to ensure that it remains secure and efficient.","review periodically; update periodically; check periodically","C1"
"Meticulously","/məˈtɪkjələsli/","adv.","meticulously, more meticulously, most meticulously","meticulous (adj.)","一絲不苟地；極其仔細地","The historical documents were meticulously restored by a team of experts over several years of hard work.","meticulously clean; meticulously planned; meticulously detailed","C1"
"Profoundly","/prəˈfaʊndli/","adv.","profoundly, more profoundly, most profoundly","profound (adj.)","深深地；極度地","The discovery of the ancient ruins has profoundly changed our understanding of early human civilizations.","profoundly affected; profoundly deaf; profoundly disturbing","C1"
