"word","ipa","pos","inflections","derivatives","definition","example","collocations","context_type"
"Trite","/traɪt/","adj.","trite, triter, tritest","triteness (n.)","陳腐的；老套的","The critic dismissed the novel's central theme as trite, noting that it offered no fresh insight into the human condition.","trite phrase; trite observation; rather trite","C2"
"Turncoat","/ˈtɜːrnkəʊt/","n.","turncoat, turncoats","None","背叛者；變節者","The general was branded a turncoat after he defected to the opposing army and disclosed classified military intelligence.","political turncoat; branded a turncoat; notorious turncoat","C2"
"Tussle","/ˈtʌsl wɪð/","v.","tussle, tussles, tussled, tussled, tussling","None","扭打；爭辯","The senator tussled with the pharmaceutical industry over rising drug prices during the congressional hearing.","tussle with authorities; legal tussle with; tussle with rivals","C2"
"Unerringly","/ʌnˈɜːrɪŋli/","adv.","unerringly, more unerringly, most unerringly","None","萬無一失地；百分之百準確地","The migratory birds navigate unerringly across thousands of miles to return to their breeding grounds each spring.","unerringly accurate; unerringly precise; point unerringly","C2"
"Unfathomable","/ʌnˈfæðəməbl/","adj.","unfathomable, more unfathomable, most unfathomable","None","無法理解的；難以理解的","The sheer scale of the universe remains unfathomable to the human mind, despite centuries of astronomical inquiry.","unfathomable mystery; unfathomable complexity; seemingly unfathomable","C2"
"Unipolar","/ˌjuːnɪˈpəʊlər/","adj.","unipolar, more unipolar, most unipolar","None","單極的；單極性的（指國際格局或系統中僅由單一主導力量構成）","Following the collapse of the Soviet Union, many scholars characterized the international order as unipolar, dominated by a single superpower.","unipolar world; unipolar order; unipolar moment","C2"
"Upend","/ˌʌpˈend/","v.","upend, upends, upended, upended, upending","upending (n.)","倒立；顛倒；翻倒","The discovery of these fossils could upend long-established theories about the origins of human migration.","upend assumptions; completely upend; upend the established order","C2"
"Vacillate","/ˈvæsəleɪt/","v.","vacillate, vacillates, vacillated, vacillated, vacillating","vacillation (n.), vacillant (adj.), vacillator (n.)","搖擺；波動；猶豫不決","Policymakers tend to vacillate between competing priorities when confronted with conflicting economic data.","vacillate between; vacillate over; continually vacillate","C2"
"Vandal","/ˈvændl/","n.","vandal, vandals","vandalise (v.), vandalize (v.)","故意破壞他人財產者；搗亂者","The museum installed surveillance cameras after a vandal defaced several priceless paintings during the night.","young vandal; convicted vandal; anonymous vandal","C2"
"Vanguard","/ˈvænɡɑːrd/","n.","vanguard, vanguards","None","先鋒者；前衛；先驅","These researchers remain at the vanguard of artificial intelligence, pioneering techniques that later become industry standards.","in the vanguard; vanguard of technology; intellectual vanguard","C2"
"Variegate","/ˈveəriəɡeɪt/","v.","variegate, variegates, variegated, variegated, variegating","variegation (n.), variable (adj.), variant (adj.), variation (n.)","使呈雜色；多樣化","Selective breeding can variegate the foliage of ornamental plants, producing leaves marked with contrasting bands of colour.","variegate the foliage; variegate the pattern; variegate the surface","C2"
"Venerate","/ˈvenəreɪt/","v.","venerate, venerates, venerated, venerated, venerating","veneration (n.), venerator (n.)","尊重；敬重；崇拜","Many ancient cultures venerated their ancestors, treating the preservation of ancestral memory as a sacred obligation.","deeply venerate; venerate as a saint; venerate the dead","C2"
"Verisimilitude","/ˌverəsɪˈmɪlɪtjuːd/","n. [U]","no changes","None","逼真；貌似真實","The novelist's meticulous research lends remarkable verisimilitude to her depiction of nineteenth-century industrial life.","degree of verisimilitude; striking verisimilitude; sense of verisimilitude","C2"
"Vexing","/ˈveksɪŋ/","adj.","vexing, more vexing, most vexing","None","引人煩惱的；令人困惑的","The persistence of poverty amid economic growth remains one of the most vexing problems confronting modern policymakers.","vexing problem; vexing question; vexing dilemma","C2"
"Vindicate","/ˈvɪndɪkeɪt/","v.","vindicate, vindicates, vindicated, vindicated, vindicating","vindication (n.), vindicator (n.)","證明…正確；維護；為…辯白","Subsequent experiments vindicated the theory that had initially been dismissed as scientifically implausible.","vindicate a claim; fully vindicated; vindicate a decision","C2"
"Virulent","/ˈvɪrələnt/","adj.","virulent, more virulent, most virulent","virulence (n.), virulency (n.)","劇毒的；致命的；惡意的","Epidemiologists warned that the new strain was far more virulent than earlier variants, spreading rapidly through dense urban populations.","virulent strain; virulent criticism; virulent pathogen","C2"
"Viscous","/ˈvɪskəs/","adj.","viscous, more viscous, most viscous","None","黏稠的；黏性的","As the temperature falls, the oil becomes increasingly viscous and flows far more slowly through the pipeline.","viscous liquid; highly viscous; viscous fluid","C2"
"Vitiate","/ˈvɪʃieɪt/","v.","vitiate, vitiates, vitiated, vitiated, vitiating","None","破壞；削弱；使失效","Procedural errors during the trial can vitiate the verdict, rendering the entire judgment legally invalid.","vitiate a contract; vitiate a claim; vitiate the agreement","C2"
"Vituperative","/vɪˈtjuːpərətɪv/","adj.","vituperative, more vituperative, most vituperative","vituperate (v.)","謾罵的；辱罵的","The reviewer's vituperative critique of the manuscript struck many scholars as needlessly harsh and unprofessional.","vituperative attack; vituperative remarks; vituperative criticism","C2"
"Vociferous","/vəˈsɪfərəs/","adj.","vociferous, more vociferous, most vociferous","None","大聲疾呼的；喧嚷的","The proposed policy met with vociferous opposition from researchers who feared its impact on academic freedom.","vociferous opposition; vociferous critic; vociferous protest","C2"
"Warmonger","/ˈwɔːmʌŋɡər/","n.","warmonger, warmongers","None","熱衷於挑起戰爭的政客或領導人","Historians have debated whether the chancellor was a genuine statesman or merely a calculating warmonger seeking territorial gain.","dangerous warmonger; reckless warmonger; branded a warmonger","C2"
"Wee","/wiː/","adj.","wee, weer, weest","weeness (n.)","微小的；一點點","The technician adjusted the instrument by a wee fraction to obtain a more precise measurement.","wee bit; wee hours; wee fraction","C2"
"Whirly","/ˈwɜːrli/","adj.","whirly, whirlier, whirliest","None","旋轉的；旋風的","The children loved the whirly rides at the fair, spinning until they felt dizzy.","feel whirly; whirly ride; go whirly","A1"
"Wily","/ˈwaɪli/","adj.","wily, wilier, wiliest","None","狡猾的；詭計多端的","The wily negotiator anticipated every objection and steered the discussion toward his preferred outcome.","wily strategist; wily negotiator; wily tactics","C2"
"Wince","/wɪns/","v.","wince, winces, winced, winced, wincing","None","（因疼痛）臉部扭曲；畏縮","Many readers wince at the bleak conclusions that the study draws about long-term environmental decline.","wince in pain; wince at the thought; wince visibly","C2"
"Winsome","/ˈwɪnsəm/","adj.","winsome, more winsome, most winsome","winsomeness (n.)","引人注目的；迷人的；可愛的","The lecturer's winsome manner made even the most technical material feel accessible to a general audience.","winsome smile; winsome charm; winsome manner","C2"
"Wishy-washy","/ˌwɪʃi ˈwɒʃi/","adj.","wishy-washy, more wishy-washy, most wishy-washy","None","無力的；沒特色的；不堅定的","Regulatory frameworks cannot tolerate wishy-washy enforcement if meaningful emissions reductions are to be achieved effectively.","wishy-washy approach; wishy-washy argument; wishy-washy stance","C2"
